//button_color, button_title, music_file, music_start
#dc3545, Combat, combat.mp3, 0
#dc3545, Battle, battle.mp3, 0
#dc3545, Boss, boss.mp3, 0
#dc3545, Boss II, boss2.mp3, 0
#dc3545, Boss III, boss3.mp3, 1
#be1604, Magic, magic.mp3, -1
#17a2b8, Day, day.mp3, -1
#744406, Dungeon, dungeon.mp3, -1
#744406, Cave, cave.mp3, -1
#744406, Swamp, swamp.mp3, -1
#28a745, Forest, forest.mp3, -1
#343a40, Interior, interior.mp3, -1
#343a40, Ritual, ritual.mp3, -1
#343a40, Night, night.mp3, -1
#868e96, Rain, rain.mp3, -1
#28a745, Jungle, jungle.mp3, -1
#be1604, Taverns, taverns.mp3, -1
#be1604, Inns, inns.mp3, -1
#be1604, Quiet Inn, quiet_tavern.mp3, -1
#ffc107, Towns, towns.mp3, -1
#17a2b8, Beach, beach.mp3, -1
#17a2b8, Ship, ship.mp3, -1
#17a2b8, Ocean, ocean.mp3, -1
